date,1. open,2. high,3. low,4. close,5. volume
2019-12-17 16:00:00,315.77,316.02,315.3,315.41,146809.0
2019-12-17 15:59:00,315.55,315.79,315.51,315.756,83076.0
2019-12-17 15:58:00,315.41,315.57,315.38,315.55,52497.0
2019-12-17 15:57:00,315.66,315.72,315.37,315.41,44612.0
2019-12-17 15:56:00,315.79,315.94,315.59,315.675,38253.0
2019-12-17 15:55:00,316.16,316.221,315.75,315.76,65867.0
2019-12-17 15:54:00,316.43,316.44,316.12,316.16,46532.0
2019-12-17 15:53:00,316.45,316.57,316.42,316.4301,38209.0
2019-12-17 15:52:00,316.76,316.8,316.41,316.4471,38657.0
2019-12-17 15:51:00,316.6,316.8,316.39,316.7644,73719.0
2019-12-17 15:50:00,316.49,316.6,316.45,316.575,23640.0
2019-12-17 15:49:00,316.555,316.59,316.44,316.4816,32840.0
2019-12-17 15:48:00,316.46,316.6,316.36,316.58,34350.0
2019-12-17 15:47:00,316.3999,316.55,316.22,316.525,24437.0
2019-12-17 15:46:00,316.48,316.53,316.3931,316.43,29640.0
2019-12-17 15:45:00,316.3791,316.4855,316.3791,316.4441,34217.0
2019-12-17 15:44:00,316.11,316.4,316.04,316.38,20543.0
2019-12-17 15:43:00,316.35,316.35,316.0906,316.11,14804.0
2019-12-17 15:42:00,316.46,316.57,316.29,316.3154,13450.0
2019-12-17 15:41:00,316.205,316.48,316.0764,316.48,34919.0
2019-12-17 15:40:00,316.37,316.37,316.1892,316.2049,13541.0
2019-12-17 15:39:00,316.4374,316.6,316.4,316.41,25926.0
2019-12-17 15:38:00,316.1993,316.4781,316.1138,316.43,21347.0
2019-12-17 15:37:00,316.1695,316.3,316.16,316.19,18984.0
2019-12-17 15:36:00,316.1563,316.175,316.01,316.175,20213.0
2019-12-17 15:35:00,316.18,316.27,316.14,316.15,17635.0
2019-12-17 15:34:00,316.38,316.38,316.12,316.1729,18395.0
2019-12-17 15:33:00,316.5502,316.56,316.38,316.395,19475.0
2019-12-17 15:32:00,316.08,316.7,316.04,316.5228,76056.0
2019-12-17 15:31:00,315.75,316.07,315.7,316.07,22410.0
2019-12-17 15:30:00,315.6757,315.82,315.64,315.768,15291.0
2019-12-17 15:29:00,315.8513,315.8513,315.63,315.63,10241.0
2019-12-17 15:28:00,315.93,315.96,315.82,315.855,9492.0
2019-12-17 15:27:00,315.7216,315.9,315.68,315.9,11008.0
2019-12-17 15:26:00,315.96,315.97,315.65,315.65,9829.0
2019-12-17 15:25:00,316.0,316.0,315.9247,315.97,7676.0
2019-12-17 15:24:00,315.97,316.0,315.9,315.97,10339.0
2019-12-17 15:23:00,315.87,316.045,315.86,315.9638,6811.0
2019-12-17 15:22:00,315.84,315.84,315.7043,315.82,11978.0
2019-12-17 15:21:00,316.0455,316.08,315.81,315.89,12367.0
2019-12-17 15:20:00,316.08,316.13,315.96,316.03,13491.0
2019-12-17 15:19:00,315.97,316.15,315.91,316.091,25769.0
2019-12-17 15:18:00,315.8577,316.01,315.8,315.945,28200.0
2019-12-17 15:17:00,315.52,315.85,315.52,315.806,19552.0
2019-12-17 15:16:00,315.34,315.5109,315.28,315.5109,11530.0
2019-12-17 15:15:00,315.69,315.72,315.34,315.34,23422.0
2019-12-17 15:14:00,315.65,315.7631,315.63,315.7369,9521.0
2019-12-17 15:13:00,315.89,315.89,315.56,315.6299,14896.0
2019-12-17 15:12:00,316.0949,316.0949,315.74,315.844,24419.0
2019-12-17 15:11:00,316.258,316.27,316.0,316.11,15863.0
2019-12-17 15:10:00,316.15,316.27,316.1381,316.2298,10006.0
2019-12-17 15:09:00,316.31,316.31,316.12,316.1283,6974.0
2019-12-17 15:08:00,316.02,316.3585,316.02,316.33,21355.0
2019-12-17 15:07:00,316.08,316.13,315.97,316.05,8257.0
2019-12-17 15:06:00,315.91,316.14,315.861,316.07,10693.0
2019-12-17 15:05:00,315.96,316.0,315.89,315.94,4529.0
2019-12-17 15:04:00,316.0,316.0,315.89,315.98,4255.0
2019-12-17 15:03:00,315.8708,316.02,315.86,316.02,4377.0
2019-12-17 15:02:00,315.97,316.07,315.84,315.87,15525.0
2019-12-17 15:01:00,316.02,316.03,315.92,315.99,7604.0
2019-12-17 15:00:00,316.0602,316.2748,316.03,316.03,6194.0
2019-12-17 14:59:00,316.1662,316.28,316.0001,316.07,10408.0
2019-12-17 14:58:00,315.99,316.25,315.96,316.185,9288.0
2019-12-17 14:57:00,315.8801,316.02,315.83,316.0133,10393.0
2019-12-17 14:56:00,316.1,316.23,315.895,315.978,12219.0
2019-12-17 14:55:00,316.03,316.06,315.9201,316.0539,5697.0
2019-12-17 14:54:00,315.99,316.1,315.97,315.97,9667.0
2019-12-17 14:53:00,315.9208,315.99,315.905,315.99,5751.0
2019-12-17 14:52:00,316.01,316.01,315.9,315.9215,5784.0
2019-12-17 14:51:00,316.0,316.1,315.9974,316.02,3086.0
2019-12-17 14:50:00,316.04,316.0893,315.99,315.99,4239.0
2019-12-17 14:49:00,316.02,316.1,315.96,316.1,4141.0
2019-12-17 14:48:00,316.01,316.1103,315.98,316.0742,4893.0
2019-12-17 14:47:00,316.125,316.15,316.04,316.0536,7870.0
2019-12-17 14:46:00,316.1608,316.19,316.07,316.19,3761.0
2019-12-17 14:45:00,316.179,316.24,316.06,316.1713,8179.0
2019-12-17 14:44:00,316.1327,316.25,316.13,316.1401,8813.0
2019-12-17 14:43:00,316.03,316.24,316.03,316.1651,9645.0
2019-12-17 14:42:00,315.815,316.12,315.81,316.0714,9749.0
2019-12-17 14:41:00,316.0,316.0,315.814,315.814,8070.0
2019-12-17 14:40:00,316.18,316.18,315.93,316.015,12332.0
2019-12-17 14:39:00,316.1872,316.22,316.1121,316.209,5426.0
2019-12-17 14:38:00,316.19,316.21,316.15,316.21,3352.0
2019-12-17 14:37:00,316.1001,316.26,316.0978,316.22,6361.0
2019-12-17 14:36:00,316.24,316.29,316.1119,316.18,7597.0
2019-12-17 14:35:00,316.2401,316.29,316.05,316.1756,8872.0
2019-12-17 14:34:00,316.27,316.3899,316.15,316.2844,24145.0
2019-12-17 14:33:00,315.88,316.32,315.88,316.3199,32105.0
2019-12-17 14:32:00,315.69,315.95,315.68,315.95,10314.0
2019-12-17 14:31:00,315.5,315.75,315.4789,315.6502,15645.0
2019-12-17 14:30:00,315.28,315.5,315.1596,315.49,12906.0
2019-12-17 14:29:00,315.23,315.2904,315.17,315.23,4624.0
2019-12-17 14:28:00,315.22,315.2294,315.07,315.2294,7492.0
2019-12-17 14:27:00,315.28,315.28,314.98,315.19,9690.0
2019-12-17 14:26:00,315.33,315.37,315.18,315.2553,11497.0
2019-12-17 14:25:00,315.0914,315.41,315.0914,315.3773,8678.0
2019-12-17 14:24:00,315.11,315.11,314.92,315.1,8996.0
2019-12-17 14:23:00,315.17,315.2153,315.12,315.1852,4720.0
2019-12-17 14:22:00,315.23,315.42,315.2174,315.2174,7303.0
2019-12-17 14:21:00,315.1,315.2799,315.1,315.2185,9286.0
2019-12-17 14:20:00,315.2192,315.2192,314.98,315.1143,9277.0
2019-12-17 14:19:00,315.1748,315.25,315.11,315.205,7172.0
2019-12-17 14:18:00,315.465,315.4732,315.11,315.1778,20229.0
