date,1. open,2. high,3. low,4. close,5. volume
2019-12-26 16:00:00,207.54,207.82,207.49,207.79,137766.0
2019-12-26 15:59:00,207.61,207.64,207.5401,207.55,44636.0
2019-12-26 15:58:00,207.52,207.64,207.49,207.61,57736.0
2019-12-26 15:57:00,207.495,207.59,207.46,207.53,76421.0
2019-12-26 15:56:00,207.4,207.57,207.4,207.5,89442.0
2019-12-26 15:55:00,207.27,207.5,207.25,207.41,73295.0
2019-12-26 15:54:00,207.1089,207.27,207.09,207.2546,46141.0
2019-12-26 15:53:00,207.27,207.3,207.09,207.09,25056.0
2019-12-26 15:52:00,207.31,207.335,207.28,207.28,16608.0
2019-12-26 15:51:00,207.32,207.37,207.25,207.35,31756.0
2019-12-26 15:50:00,207.3865,207.3865,207.27,207.34,28444.0
2019-12-26 15:49:00,207.42,207.42,207.35,207.38,16838.0
2019-12-26 15:48:00,207.474,207.475,207.33,207.42,40916.0
2019-12-26 15:47:00,207.4,207.53,207.4,207.485,30282.0
2019-12-26 15:46:00,207.41,207.47,207.385,207.4,39518.0
2019-12-26 15:45:00,207.39,207.45,207.35,207.405,31797.0
2019-12-26 15:44:00,207.344,207.41,207.28,207.4,44042.0
2019-12-26 15:43:00,207.15,207.38,207.13,207.355,53163.0
2019-12-26 15:42:00,207.14,207.2212,207.1101,207.16,28893.0
2019-12-26 15:41:00,207.12,207.15,207.08,207.14,27799.0
2019-12-26 15:40:00,206.99,207.1297,206.99,207.1297,17615.0
2019-12-26 15:39:00,207.03,207.03,206.92,206.9757,20653.0
2019-12-26 15:38:00,207.0,207.06,207.0,207.0366,17816.0
2019-12-26 15:37:00,207.0257,207.09,207.005,207.015,20971.0
2019-12-26 15:36:00,206.97,207.04,206.9628,207.025,18037.0
2019-12-26 15:35:00,206.94,206.9675,206.874,206.9675,12419.0
2019-12-26 15:34:00,206.8,206.97,206.8,206.95,12399.0
2019-12-26 15:33:00,206.82,206.9,206.79,206.81,13896.0
2019-12-26 15:32:00,206.9394,206.95,206.7706,206.78,17594.0
2019-12-26 15:31:00,206.87,206.94,206.87,206.94,10623.0
2019-12-26 15:30:00,206.885,206.9,206.81,206.8783,9949.0
2019-12-26 15:29:00,206.83,206.89,206.8101,206.88,12275.0
2019-12-26 15:28:00,206.875,206.91,206.81,206.82,10539.0
2019-12-26 15:27:00,207.02,207.025,206.86,206.89,7872.0
2019-12-26 15:26:00,206.9405,207.0623,206.93,207.035,24926.0
2019-12-26 15:25:00,206.88,206.94,206.83,206.94,14924.0
2019-12-26 15:24:00,207.001,207.04,206.88,206.88,22110.0
2019-12-26 15:23:00,206.92,207.05,206.92,207.0,32507.0
2019-12-26 15:22:00,206.93,206.94,206.869,206.915,12037.0
2019-12-26 15:21:00,206.85,206.94,206.845,206.94,24014.0
2019-12-26 15:20:00,206.84,206.855,206.76,206.8394,22247.0
2019-12-26 15:19:00,206.9568,206.99,206.83,206.86,18533.0
2019-12-26 15:18:00,206.95,207.045,206.9,206.9726,35110.0
2019-12-26 15:17:00,207.025,207.05,206.9441,206.95,21095.0
2019-12-26 15:16:00,207.1002,207.14,207.01,207.01,18065.0
2019-12-26 15:15:00,207.18,207.19,207.05,207.12,20638.0
2019-12-26 15:14:00,207.2,207.2,207.14,207.16,7053.0
2019-12-26 15:13:00,207.22,207.23,207.17,207.1759,7537.0
