date,1. open,2. high,3. low,4. close,5. volume
2019-12-02 16:00:00,264.48,264.87,264.01,264.09,699317.0
2019-12-02 15:59:00,264.58,264.63,264.43,264.46,127407.0
2019-12-02 15:58:00,264.47,264.61,264.4,264.5797,191575.0
2019-12-02 15:57:00,264.42,264.56,264.4088,264.47,118321.0
2019-12-02 15:56:00,264.47,264.645,264.37,264.42,177293.0
2019-12-02 15:55:00,264.61,264.75,264.43,264.47,178287.0
2019-12-02 15:54:00,264.63,264.675,264.56,264.6196,47440.0
2019-12-02 15:53:00,264.67,264.75,264.62,264.62,46995.0
2019-12-02 15:52:00,264.57,264.75,264.5193,264.685,104048.0
2019-12-02 15:51:00,264.93,264.93,264.52,264.58,239369.0
2019-12-02 15:50:00,265.0187,265.0188,264.91,264.93,25345.0
2019-12-02 15:49:00,265.0586,265.3179,264.9976,265.0086,93357.0
2019-12-02 15:48:00,265.15,265.19,265.04,265.06,27715.0
2019-12-02 15:47:00,265.2,265.23,265.125,265.1501,28535.0
2019-12-02 15:46:00,265.1,265.25,265.1,265.19,60612.0
2019-12-02 15:45:00,265.215,265.25,265.07,265.1,50420.0
2019-12-02 15:44:00,265.23,265.24,265.18,265.2201,28816.0
2019-12-02 15:43:00,265.19,265.23,265.17,265.23,20911.0
2019-12-02 15:42:00,265.235,265.27,265.19,265.19,18895.0
2019-12-02 15:41:00,265.2643,265.27,265.18,265.22,28461.0
2019-12-02 15:40:00,265.3266,265.35,265.26,265.282,30114.0
2019-12-02 15:39:00,265.1,265.33,265.09,265.33,56461.0
2019-12-02 15:38:00,265.11,265.15,265.03,265.12,49307.0
2019-12-02 15:37:00,265.05,265.14,265.01,265.1237,30404.0
2019-12-02 15:36:00,264.93,265.05,264.88,265.04,59523.0
2019-12-02 15:35:00,264.885,264.94,264.84,264.94,25215.0
2019-12-02 15:34:00,264.84,264.895,264.78,264.87,29600.0
2019-12-02 15:33:00,264.8,264.88,264.78,264.84,37066.0
2019-12-02 15:32:00,264.94,264.94,264.805,264.805,20735.0
2019-12-02 15:31:00,264.87,264.95,264.8436,264.9387,26184.0
2019-12-02 15:30:00,264.95,264.95,264.82,264.87,32758.0
2019-12-02 15:29:00,264.97,265.0148,264.95,264.95,24636.0
2019-12-02 15:28:00,264.9,264.97,264.885,264.96,32936.0
2019-12-02 15:27:00,264.84,264.92,264.83,264.89,16642.0
2019-12-02 15:26:00,264.9048,264.93,264.82,264.82,28861.0
2019-12-02 15:25:00,264.9091,264.96,264.87,264.91,31444.0
2019-12-02 15:24:00,265.02,265.07,264.88,264.9,36492.0
2019-12-02 15:23:00,265.07,265.07,264.95,265.01,27845.0
2019-12-02 15:22:00,265.0,265.07,264.96,265.07,23969.0
2019-12-02 15:21:00,265.05,265.05,264.995,265.01,18990.0
2019-12-02 15:20:00,265.11,265.11,265.0274,265.055,21963.0
2019-12-02 15:19:00,265.09,265.11,265.04,265.1,20614.0
2019-12-02 15:18:00,265.0899,265.11,265.055,265.09,15515.0
2019-12-02 15:17:00,265.05,265.13,265.0398,265.08,22385.0
2019-12-02 15:16:00,265.04,265.0636,265.0,265.04,15410.0
2019-12-02 15:15:00,265.0211,265.09,265.02,265.05,20966.0
2019-12-02 15:14:00,265.02,265.08,264.95,265.03,40853.0
2019-12-02 15:13:00,265.0973,265.11,265.012,265.012,31620.0
2019-12-02 15:12:00,265.13,265.19,265.0575,265.1,33140.0
2019-12-02 15:11:00,265.2,265.23,265.13,265.13,18840.0
2019-12-02 15:10:00,265.18,265.22,265.1699,265.195,22235.0
2019-12-02 15:09:00,265.2209,265.2209,265.13,265.17,19078.0
2019-12-02 15:08:00,265.14,265.2315,265.13,265.2102,35750.0
2019-12-02 15:07:00,265.2599,265.31,265.13,265.14,28299.0
2019-12-02 15:06:00,265.36,265.39,265.21,265.26,20745.0
2019-12-02 15:05:00,265.36,265.4,265.3401,265.35,13102.0
2019-12-02 15:04:00,265.295,265.4,265.295,265.36,20969.0
2019-12-02 15:03:00,265.38,265.46,265.29,265.2965,23639.0
2019-12-02 15:02:00,265.485,265.54,265.335,265.39,26279.0
2019-12-02 15:01:00,265.48,265.53,265.41,265.49,27434.0
2019-12-02 15:00:00,265.45,265.49,265.444,265.47,11810.0
2019-12-02 14:59:00,265.42,265.51,265.36,265.45,38927.0
2019-12-02 14:58:00,265.39,265.4145,265.3659,265.41,16181.0
2019-12-02 14:57:00,265.313,265.3909,265.313,265.3909,12870.0
2019-12-02 14:56:00,265.2563,265.32,265.22,265.315,16058.0
2019-12-02 14:55:00,265.4,265.41,265.23,265.2501,35231.0
2019-12-02 14:54:00,265.42,265.425,265.33,265.39,13798.0
2019-12-02 14:53:00,265.3589,265.43,265.3589,265.4208,12991.0
2019-12-02 14:52:00,265.4501,265.48,265.3502,265.37,20122.0
2019-12-02 14:51:00,265.53,265.5699,265.46,265.47,16568.0
2019-12-02 14:50:00,265.51,265.575,265.51,265.51,18080.0
2019-12-02 14:49:00,265.57,265.57,265.49,265.5,14776.0
2019-12-02 14:48:00,265.47,265.57,265.455,265.57,18262.0
2019-12-02 14:47:00,265.55,265.5563,265.39,265.46,26129.0
2019-12-02 14:46:00,265.32,265.54,265.32,265.54,35378.0
2019-12-02 14:45:00,265.3861,265.4025,265.32,265.32,41849.0
2019-12-02 14:44:00,265.3675,265.51,265.3611,265.39,56819.0
2019-12-02 14:43:00,265.32,265.38,265.3113,265.36,22949.0
2019-12-02 14:42:00,265.42,265.4254,265.26,265.3152,30281.0
2019-12-02 14:41:00,265.4,265.5,265.355,265.4047,31678.0
2019-12-02 14:40:00,265.4606,265.4606,265.39,265.39,15600.0
2019-12-02 14:39:00,265.3944,265.4468,265.3901,265.4468,9547.0
2019-12-02 14:38:00,265.36,265.435,265.34,265.3899,16306.0
2019-12-02 14:37:00,265.49,265.49,265.25,265.35,37100.0
2019-12-02 14:36:00,265.61,265.645,265.4045,265.49,48312.0
2019-12-02 14:35:00,265.7,265.7294,265.6,265.6,28179.0
2019-12-02 14:34:00,265.7,265.74,265.7,265.7001,12460.0
2019-12-02 14:33:00,265.7041,265.72,265.682,265.7,12661.0
2019-12-02 14:32:00,265.725,265.74,265.7,265.7,15343.0
2019-12-02 14:31:00,265.64,265.7495,265.63,265.7206,31263.0
2019-12-02 14:30:00,265.6,265.6899,265.6,265.6442,15805.0
2019-12-02 14:29:00,265.62,265.62,265.59,265.6,9602.0
2019-12-02 14:28:00,265.59,265.61,265.55,265.61,12597.0
2019-12-02 14:27:00,265.62,265.62,265.55,265.61,12781.0
2019-12-02 14:26:00,265.58,265.63,265.513,265.6299,16711.0
2019-12-02 14:25:00,265.62,265.65,265.56,265.58,23871.0
2019-12-02 14:24:00,265.57,265.65,265.56,265.62,15329.0
2019-12-02 14:23:00,265.5,265.64,265.47,265.57,34886.0
2019-12-02 14:22:00,265.53,265.55,265.4,265.4732,48011.0
2019-12-02 14:21:00,265.46,265.54,265.46,265.52,8375.0
2019-12-02 14:20:00,265.46,265.51,265.4301,265.45,14434.0
2019-12-02 14:19:00,265.5,265.5396,265.45,265.45,19114.0
