date,1. open,2. high,3. low,4. close,5. volume
2019-12-06 16:00:00,307.48,307.62,307.27,307.27,65500.0
2019-12-06 15:59:00,307.65,307.65,307.35,307.52,44784.0
2019-12-06 15:58:00,307.4276,307.66,307.31,307.66,37760.0
2019-12-06 15:57:00,307.56,307.56,307.4001,307.45,26556.0
2019-12-06 15:56:00,307.47,307.69,307.47,307.6,21508.0
2019-12-06 15:55:00,307.35,307.55,307.3,307.49,27866.0
2019-12-06 15:54:00,307.23,307.36,307.01,307.35,20668.0
2019-12-06 15:53:00,307.3,307.302,307.1,307.17,17399.0
2019-12-06 15:52:00,307.25,307.3409,307.09,307.3139,14228.0
2019-12-06 15:51:00,307.46,307.48,307.09,307.29,13322.0
2019-12-06 15:50:00,307.51,307.51,307.3619,307.48,7054.0
2019-12-06 15:49:00,307.6,307.64,307.53,307.5445,13340.0
2019-12-06 15:48:00,307.32,307.59,307.32,307.59,12268.0
2019-12-06 15:47:00,307.45,307.4706,307.17,307.3199,14974.0
2019-12-06 15:46:00,307.5915,307.61,307.45,307.4725,19879.0
2019-12-06 15:45:00,307.57,307.64,307.53,307.58,9702.0
2019-12-06 15:44:00,307.51,307.6,307.49,307.59,6742.0
2019-12-06 15:43:00,307.5,307.6,307.4044,307.5667,11031.0
2019-12-06 15:42:00,307.5091,307.5799,307.48,307.51,6483.0
2019-12-06 15:41:00,307.4225,307.53,307.41,307.53,5894.0
2019-12-06 15:40:00,307.37,307.43,307.3114,307.3918,7037.0
2019-12-06 15:39:00,307.19,307.37,307.12,307.37,6057.0
2019-12-06 15:38:00,307.05,307.1328,307.0,307.13,6682.0
2019-12-06 15:37:00,307.09,307.09,306.925,307.04,16381.0
2019-12-06 15:36:00,307.36,307.37,307.12,307.12,11260.0
2019-12-06 15:35:00,307.32,307.45,307.32,307.4,7441.0
2019-12-06 15:34:00,307.17,307.35,307.17,307.2909,6798.0
2019-12-06 15:33:00,307.0,307.25,307.0,307.23,11380.0
2019-12-06 15:32:00,307.04,307.07,306.96,307.03,9143.0
2019-12-06 15:31:00,306.78,306.92,306.78,306.92,5431.0
2019-12-06 15:30:00,307.05,307.06,306.78,306.85,8182.0
2019-12-06 15:29:00,306.98,307.04,306.97,307.04,3464.0
2019-12-06 15:28:00,306.91,307.0,306.8914,306.9718,6994.0
2019-12-06 15:27:00,307.06,307.07,306.84,306.91,8105.0
2019-12-06 15:26:00,307.01,307.0439,306.99,307.0439,6719.0
2019-12-06 15:25:00,307.03,307.03,306.96,307.03,2388.0
2019-12-06 15:24:00,306.9881,307.06,306.94,307.06,6387.0
2019-12-06 15:23:00,306.99,307.09,306.98,306.98,3402.0
2019-12-06 15:22:00,307.05,307.06,306.8663,307.0218,6338.0
2019-12-06 15:21:00,306.908,307.0801,306.908,307.0801,11569.0
2019-12-06 15:20:00,306.82,306.9594,306.8,306.925,5116.0
2019-12-06 15:19:00,306.75,306.84,306.75,306.83,5295.0
2019-12-06 15:18:00,306.84,306.87,306.7208,306.79,6454.0
2019-12-06 15:17:00,306.93,306.93,306.79,306.85,13322.0
2019-12-06 15:16:00,306.91,306.98,306.8501,306.98,2153.0
2019-12-06 15:15:00,306.911,306.985,306.911,306.9628,2966.0
2019-12-06 15:14:00,306.86,306.8907,306.75,306.8907,5326.0
2019-12-06 15:13:00,307.0375,307.07,306.93,306.93,6724.0
2019-12-06 15:12:00,307.06,307.095,307.0008,307.0477,3447.0
2019-12-06 15:11:00,307.035,307.2,307.01,307.14,5102.0
2019-12-06 15:10:00,307.214,307.214,307.0166,307.03,3948.0
2019-12-06 15:09:00,307.2,307.26,307.169,307.186,5860.0
2019-12-06 15:08:00,307.05,307.16,307.05,307.16,2147.0
2019-12-06 15:07:00,307.07,307.13,306.9,307.1,10002.0
2019-12-06 15:06:00,307.3,307.3,307.08,307.11,4880.0
2019-12-06 15:05:00,307.4518,307.4518,307.3591,307.41,2774.0
2019-12-06 15:04:00,307.4,307.48,307.4,307.48,2274.0
2019-12-06 15:03:00,307.4051,307.51,307.32,307.39,14935.0
2019-12-06 15:02:00,307.2,307.51,307.18,307.38,15725.0
2019-12-06 15:01:00,307.32,307.34,307.17,307.26,15916.0
2019-12-06 15:00:00,307.52,307.65,307.39,307.41,16348.0
2019-12-06 14:59:00,307.5904,307.62,307.48,307.5168,7100.0
2019-12-06 14:58:00,307.55,307.62,307.55,307.62,1819.0
2019-12-06 14:57:00,307.6,307.65,307.46,307.5141,9052.0
2019-12-06 14:56:00,307.565,307.63,307.48,307.62,6160.0
2019-12-06 14:55:00,307.4496,307.59,307.39,307.57,7648.0
2019-12-06 14:54:00,307.4908,307.52,307.4373,307.5,1430.0
2019-12-06 14:53:00,307.46,307.52,307.4104,307.52,3524.0
2019-12-06 14:52:00,307.4853,307.51,307.46,307.51,2024.0
2019-12-06 14:51:00,307.43,307.61,307.38,307.5023,9407.0
2019-12-06 14:50:00,307.4,307.42,307.3,307.395,3275.0
2019-12-06 14:49:00,307.41,307.45,307.3,307.45,3453.0
2019-12-06 14:48:00,307.5,307.5,307.4,307.4358,2630.0
2019-12-06 14:47:00,307.4105,307.63,307.4105,307.57,7327.0
2019-12-06 14:46:00,307.2306,307.4155,307.2265,307.4155,7265.0
2019-12-06 14:45:00,307.2097,307.27,307.2097,307.21,3667.0
2019-12-06 14:44:00,307.21,307.27,307.1626,307.238,4400.0
2019-12-06 14:43:00,307.07,307.2599,307.07,307.244,7243.0
2019-12-06 14:42:00,307.06,307.1187,307.02,307.03,2638.0
2019-12-06 14:41:00,307.0,307.1299,306.9,307.1299,5943.0
2019-12-06 14:40:00,307.05,307.12,307.035,307.035,1634.0
2019-12-06 14:39:00,307.1059,307.11,307.014,307.014,2142.0
2019-12-06 14:38:00,306.95,307.13,306.95,307.0902,5946.0
2019-12-06 14:37:00,306.86,307.0001,306.8,306.95,12649.0
2019-12-06 14:36:00,306.94,307.11,306.89,306.89,5305.0
2019-12-06 14:35:00,307.18,307.201,306.955,306.98,9758.0
2019-12-06 14:34:00,307.08,307.155,307.03,307.155,5957.0
2019-12-06 14:33:00,307.305,307.305,307.02,307.0844,5591.0
2019-12-06 14:32:00,307.49,307.49,307.28,307.34,6212.0
2019-12-06 14:31:00,307.52,307.58,307.438,307.54,4822.0
2019-12-06 14:30:00,307.5399,307.545,307.48,307.514,4527.0
2019-12-06 14:29:00,307.45,307.55,307.36,307.5134,7430.0
2019-12-06 14:28:00,307.66,307.71,307.4,307.44,6270.0
2019-12-06 14:27:00,307.6201,307.8495,307.6079,307.6079,12674.0
2019-12-06 14:26:00,307.586,307.75,307.58,307.67,3528.0
2019-12-06 14:25:00,307.58,307.68,307.4416,307.68,12116.0
2019-12-06 14:24:00,307.4364,307.58,307.43,307.58,5905.0
2019-12-06 14:23:00,307.4141,307.4585,307.36,307.45,5935.0
2019-12-06 14:22:00,307.3,307.4296,307.26,307.4,5081.0
2019-12-06 14:21:00,307.21,307.26,307.155,307.25,3087.0
2019-12-06 14:20:00,307.26,307.27,307.24,307.27,2276.0
2019-12-06 14:19:00,307.3,307.3775,307.2404,307.2555,4631.0
2019-12-06 14:18:00,307.14,307.3685,307.14,307.3179,5805.0
2019-12-06 14:17:00,307.3541,307.3541,307.13,307.2,3665.0
2019-12-06 14:16:00,307.19,307.42,307.19,307.34,6340.0
2019-12-06 14:15:00,307.26,307.2837,307.0853,307.2412,12853.0
2019-12-06 14:14:00,307.43,307.44,307.26,307.27,6751.0
2019-12-06 14:13:00,307.52,307.58,307.3892,307.4557,6222.0
2019-12-06 14:12:00,307.3,307.59,307.3,307.52,8983.0
2019-12-06 14:11:00,307.34,307.38,307.24,307.29,5870.0
2019-12-06 14:10:00,307.4168,307.42,307.3328,307.38,3711.0
2019-12-06 14:09:00,307.34,307.49,307.2805,307.49,6911.0
2019-12-06 14:08:00,307.4169,307.48,307.365,307.37,3440.0
2019-12-06 14:07:00,307.58,307.62,307.4898,307.505,5756.0
2019-12-06 14:06:00,307.39,307.6213,307.34,307.58,9848.0
2019-12-06 14:05:00,307.54,307.54,307.3,307.34,7290.0
2019-12-06 14:04:00,307.42,307.6,307.33,307.54,17389.0
2019-12-06 14:03:00,307.24,307.49,307.2387,307.4359,8554.0
2019-12-06 14:02:00,306.96,307.18,306.96,307.18,4169.0
2019-12-06 14:01:00,307.13,307.13,306.8606,306.9379,5829.0
