date,1. open,2. high,3. low,4. close,5. volume
2019-12-26 16:00:00,289.88,290.0,289.85,289.91,343624.0
2019-12-26 15:59:00,289.86,289.92,289.81,289.87,208040.0
2019-12-26 15:58:00,289.77,289.87,289.7,289.86,155249.0
2019-12-26 15:57:00,289.6,289.83,289.58,289.763,166584.0
2019-12-26 15:56:00,289.66,289.68,289.55,289.56,179405.0
2019-12-26 15:55:00,289.39,289.66,289.38,289.61,256093.0
2019-12-26 15:54:00,289.37,289.44,289.27,289.39,154209.0
2019-12-26 15:53:00,289.31,289.37,289.23,289.3699,69635.0
2019-12-26 15:52:00,289.255,289.33,289.2221,289.325,63228.0
2019-12-26 15:51:00,289.3473,289.5,289.23,289.26,98301.0
2019-12-26 15:50:00,289.17,289.35,289.14,289.33,63041.0
2019-12-26 15:49:00,289.2039,289.217,289.13,289.18,53207.0
2019-12-26 15:48:00,289.3201,289.3773,289.16,289.21,158996.0
2019-12-26 15:47:00,289.21,289.4178,289.2,289.3334,139664.0
2019-12-26 15:46:00,289.205,289.25,289.17,289.2111,107153.0
2019-12-26 15:45:00,289.07,289.23,289.0281,289.2,134597.0
2019-12-26 15:44:00,288.9642,289.09,288.92,289.08,70720.0
2019-12-26 15:43:00,288.95,288.99,288.88,288.9684,60611.0
2019-12-26 15:42:00,288.8518,288.95,288.81,288.9398,49422.0
2019-12-26 15:41:00,288.845,288.95,288.83,288.8554,67188.0
2019-12-26 15:40:00,288.756,288.85,288.71,288.8401,40927.0
2019-12-26 15:39:00,288.6599,288.78,288.654,288.75,47804.0
2019-12-26 15:38:00,288.62,288.68,288.62,288.6533,27693.0
2019-12-26 15:37:00,288.667,288.667,288.6,288.625,20234.0
2019-12-26 15:36:00,288.62,288.6778,288.6176,288.6601,26423.0
2019-12-26 15:35:00,288.605,288.7,288.55,288.6232,35811.0
2019-12-26 15:34:00,288.4901,288.62,288.4901,288.6,34252.0
2019-12-26 15:33:00,288.51,288.5791,288.46,288.4806,159061.0
2019-12-26 15:32:00,288.65,288.66,288.44,288.51,46190.0
2019-12-26 15:31:00,288.523,288.6599,288.52,288.644,46417.0
2019-12-26 15:30:00,288.455,288.57,288.44,288.5332,39155.0
2019-12-26 15:29:00,288.46,288.51,288.45,288.45,42631.0
2019-12-26 15:28:00,288.5384,288.55,288.43,288.459,63071.0
2019-12-26 15:27:00,288.52,288.56,288.51,288.53,35559.0
2019-12-26 15:26:00,288.6101,288.6299,288.51,288.53,80524.0
2019-12-26 15:25:00,288.63,288.675,288.6,288.6299,49198.0
2019-12-26 15:24:00,288.77,288.77,288.62,288.62,39792.0
2019-12-26 15:23:00,288.76,288.81,288.76,288.78,18049.0
2019-12-26 15:22:00,288.76,288.7906,288.73,288.74,17595.0
2019-12-26 15:21:00,288.76,288.8199,288.73,288.763,26796.0
2019-12-26 15:20:00,288.72,288.8027,288.7,288.743,36956.0
2019-12-26 15:19:00,288.77,288.78,288.72,288.7237,25444.0
2019-12-26 15:18:00,288.78,288.87,288.76,288.775,53229.0
2019-12-26 15:17:00,288.745,288.8,288.745,288.78,32452.0
2019-12-26 15:16:00,288.7,288.76,288.69,288.75,37538.0
2019-12-26 15:15:00,288.77,288.79,288.693,288.693,61201.0
2019-12-26 15:14:00,288.83,288.83,288.77,288.78,30433.0
2019-12-26 15:13:00,288.84,288.861,288.81,288.8263,35063.0
2019-12-26 15:12:00,288.85,288.88,288.82,288.85,19160.0
2019-12-26 15:11:00,288.83,288.9157,288.812,288.8672,30631.0
2019-12-26 15:10:00,288.9,288.91,288.8,288.82,33679.0
2019-12-26 15:09:00,288.915,288.93,288.8516,288.91,24274.0
2019-12-26 15:08:00,288.93,288.9301,288.85,288.915,34440.0
2019-12-26 15:07:00,288.95,288.97,288.93,288.93,29020.0
2019-12-26 15:06:00,288.92,288.951,288.89,288.95,33398.0
2019-12-26 15:05:00,288.9078,288.99,288.88,288.93,62340.0
2019-12-26 15:04:00,288.86,288.91,288.85,288.9048,29886.0
2019-12-26 15:03:00,288.975,288.986,288.84,288.8692,43044.0
2019-12-26 15:02:00,289.0378,289.1,288.96,288.96,31186.0
2019-12-26 15:01:00,289.195,289.22,288.97,289.0544,78185.0
2019-12-26 15:00:00,289.2,289.25,289.14,289.2,35843.0
2019-12-26 14:59:00,289.24,289.285,289.16,289.191,55004.0
2019-12-26 14:58:00,289.118,289.25,289.118,289.2496,55052.0
2019-12-26 14:57:00,289.125,289.15,289.08,289.115,58227.0
2019-12-26 14:56:00,289.1,289.15,289.09,289.1276,55299.0
2019-12-26 14:55:00,289.0797,289.1,289.05,289.1,25878.0
2019-12-26 14:54:00,289.0399,289.08,289.03,289.0799,39904.0
2019-12-26 14:53:00,288.9,289.05,288.8801,289.03,68525.0
2019-12-26 14:52:00,288.8,288.89,288.7801,288.8884,52861.0
2019-12-26 14:51:00,288.83,288.86,288.75,288.8,31949.0
2019-12-26 14:50:00,288.8272,288.86,288.82,288.82,18533.0
2019-12-26 14:49:00,288.85,288.8525,288.82,288.83,7547.0
2019-12-26 14:48:00,288.82,288.85,288.79,288.85,22209.0
2019-12-26 14:47:00,288.8303,288.8599,288.82,288.83,11233.0
2019-12-26 14:46:00,288.86,288.865,288.788,288.84,42811.0
2019-12-26 14:45:00,288.8205,288.865,288.82,288.856,10364.0
2019-12-26 14:44:00,288.83,288.8399,288.8,288.83,19936.0
