date,1. open,2. high,3. low,4. close,5. volume
2019-12-31 16:00:00,205.15,205.37,205.14,205.15,205429.0
2019-12-31 15:59:00,205.1615,205.3663,205.1511,205.1665,118682.0
2019-12-31 15:58:00,205.14,205.17,205.0566,205.16,92171.0
2019-12-31 15:57:00,205.34,205.34,205.12,205.13,67943.0
2019-12-31 15:56:00,205.06,205.33,205.04,205.32,95024.0
2019-12-31 15:55:00,204.89,205.1,204.86,205.075,115568.0
2019-12-31 15:54:00,204.89,204.92,204.87,204.89,39969.0
2019-12-31 15:53:00,204.79,204.9,204.77,204.9,29216.0
2019-12-31 15:52:00,204.88,204.89,204.72,204.8,31632.0
2019-12-31 15:51:00,204.77,204.91,204.755,204.88,72521.0
2019-12-31 15:50:00,204.8,204.81,204.75,204.76,21008.0
2019-12-31 15:49:00,204.815,204.86,204.75,204.79,33492.0
2019-12-31 15:48:00,204.9,204.91,204.8199,204.8199,20740.0
2019-12-31 15:47:00,204.9689,204.97,204.87,204.9,36429.0
2019-12-31 15:46:00,204.93,204.98,204.915,204.95,19889.0
2019-12-31 15:45:00,204.92,204.95,204.915,204.92,17237.0
2019-12-31 15:44:00,204.9105,204.94,204.89,204.915,15557.0
2019-12-31 15:43:00,204.9202,204.95,204.9059,204.9127,18760.0
2019-12-31 15:42:00,204.91,204.935,204.895,204.9252,9775.0
2019-12-31 15:41:00,204.9251,204.95,204.917,204.92,14871.0
2019-12-31 15:40:00,204.87,204.94,204.87,204.94,13296.0
2019-12-31 15:39:00,204.895,204.895,204.86,204.86,12293.0
2019-12-31 15:38:00,204.87,204.9,204.8302,204.8901,16138.0
2019-12-31 15:37:00,204.9,204.91,204.87,204.87,18172.0
2019-12-31 15:36:00,204.89,204.9,204.86,204.9,13288.0
2019-12-31 15:35:00,204.81,204.89,204.81,204.89,13520.0
2019-12-31 15:34:00,204.8,204.84,204.77,204.79,26623.0
2019-12-31 15:33:00,204.87,204.87,204.78,204.8,33066.0
2019-12-31 15:32:00,204.85,204.8899,204.84,204.88,14377.0
2019-12-31 15:31:00,204.83,204.8638,204.81,204.85,23555.0
2019-12-31 15:30:00,204.82,204.86,204.805,204.84,12376.0
2019-12-31 15:29:00,204.81,204.84,204.79,204.8201,15757.0
2019-12-31 15:28:00,204.79,204.84,204.77,204.8,16442.0
2019-12-31 15:27:00,204.8214,204.8214,204.7418,204.785,11324.0
2019-12-31 15:26:00,204.871,204.88,204.79,204.82,29044.0
2019-12-31 15:25:00,204.8,204.87,204.795,204.87,9358.0
2019-12-31 15:24:00,204.8402,204.8402,204.7513,204.8,22116.0
2019-12-31 15:23:00,204.79,204.8765,204.79,204.8411,14284.0
2019-12-31 15:22:00,204.78,204.79,204.74,204.7816,17348.0
2019-12-31 15:21:00,204.695,204.81,204.695,204.79,16435.0
2019-12-31 15:20:00,204.7391,204.74,204.7,204.7,4525.0
2019-12-31 15:19:00,204.605,204.75,204.6043,204.73,28903.0
2019-12-31 15:18:00,204.67,204.71,204.59,204.59,16077.0
2019-12-31 15:17:00,204.62,204.71,204.61,204.68,15760.0
2019-12-31 15:16:00,204.645,204.65,204.6,204.61,11487.0
2019-12-31 15:15:00,204.69,204.6999,204.6401,204.6401,13816.0
2019-12-31 15:14:00,204.6783,204.71,204.6511,204.68,9942.0
2019-12-31 15:13:00,204.6432,204.7,204.64,204.68,17076.0
2019-12-31 15:12:00,204.54,204.6469,204.535,204.6469,22731.0
2019-12-31 15:11:00,204.54,204.54,204.49,204.53,11202.0
